Movie,Year,Keywords,Synopsis,Love · Romance · Family · Community · Belonging · Home,Happy · Playful · Bright · Feel-good · Carefree,Hopeful · Healing · Optimistic · Reassuring,Excited · Adventurous · Fun · Escapist,Reflective · Introspective · Contemplative About Life,Calm · Peaceful · Relaxed · Soft · Gentle,Curious · Engaged · Intrigued · Mentally Active,Intense · Emotional · Cathartic · Bittersweet,Lonely · Isolated · Unseen · Longing,Angry · Frustrated · Irritated · Stressed,Hopeless · Sad · Heartbroken · Melancholy,Scared · Anxious · Uneasy · Tense · Nervous
Elemental,2023,"identity, belonging, cultural differences, emotional connection, coexistence","In a city where fire-, water-, land-, and air-elemental beings coexist, Ember, a fiery young woman, and Wade, a relaxed water guy, form an unlikely friendship. They navigate differences, misunderstandings, and adventures while learning empathy, acceptance, and the power of connection.",0.7,0.6,0.7,0.5,0.6,0.4,0.6,0.8,0.5,0.2,0.3,0.3
Legally Blonde,2001,"self-belief, empowerment, stereotypes, perseverance, personal growth","Elle Woods, a fashionable sorority girl, follows her ex-boyfriend to Harvard Law, faces skepticism, and discovers her intelligence, charm, and independence, ultimately succeeding in law school while embracing her true self.",0.6,0.8,0.8,0.7,0.5,0.5,0.7,0.6,0.3,0.4,0.3,0.2
3 Idiots,2009,"friendship, education pressure, passion vs conformity, self-discovery, innovation","Three engineering students navigate college pressures; Rancho challenges the system, inspiring his friends to pursue their passions, leading to lessons about friendship, life, and following dreams.",0.6,0.7,0.8,0.6,0.7,0.5,0.7,0.8,0.3,0.5,0.4,0.3
Shyam Singha Roy,2021,"reincarnation, justice, love beyond time, social reform, destiny","Vasu, an aspiring director accused of plagiarism, begins having visions of a past life as Shyam Singha Roy, a social reformer in 1970s Bengal. In that past life he falls for a dancer and fights societal injustice, while in the present he struggles with art, love, and validation.",0.8,0.2,0.7,0.2,0.6,0.3,0.6,0.7,0.4,0.2,0.5,0.1
Love Story,2021,"unconditional love, sacrifice, loss, family bonds, emotional endurance","Mounika and Revanth meet in the city while chasing dreams, and fall in love despite coming from different castes, facing family and societal pressures that test their bond.",0.9,0.3,0.6,0.3,0.7,0.3,0.7,0.6,0.5,0.4,0.4,0.1
12th Fail,2023,"resilience, perseverance, poverty, discipline, quiet determination","Based on a true story: Manoj Kumar Sharma fails his class 12 exam after refusing to cheat, then perseveres through hardship — study struggles, extreme poverty, family setbacks — to chase his dream of becoming an Indian Police Service (IPS) officer.",0.4,0.3,0.9,0.1,0.8,0.2,0.8,0.6,0.3,0.5,0.4,0.2
Homebound,2025,"displacement, identity, return, healing, search for belonging","Two childhood friends from a small Indian village dream of joining the police for respect and a better life; as pressure mounts and life throws curveballs, their friendship, dreams, and personal responsibilities are strained.",0.4,0.1,0.8,0.1,0.8,0.2,0.8,0.7,0.5,0.6,0.6,0.3
Hi Nanna,2023,"parenthood, memory, unconditional love, healing, emotional intimacy","A devoted father cares for his young daughter Mahi, who suffers from a life‑threatening illness; through flashbacks, we see how he met her mother, fell in love, and struggled with joy and heartbreak as they dealt with family and health challenges.",0.8,0.2,0.9,0.1,0.7,0.3,0.7,0.8,0.6,0.3,0.8,0.2
Aankhon Ki Gustaakhiyan,2025,"longing, unspoken love, emotional restraint, vulnerability, destiny","A visually impaired musician and a theatre artist meet during a train journey, gradually form an emotional connection, and navigate societal perceptions and personal transformation as their bond deepens.",0.7,0.4,0.6,0.2,0.6,0.4,0.7,0.6,0.5,0.2,0.5,0.1
Your Eyes Tell,2020,"healing love, sacrifice, redemption, emotional connection, hope","After a tragic accident leaves Akari blind and orphaned, she meets Rui, a former kick‑boxer with a troubled past. They fall in love; when Rui discovers his connection to her accident, he fights to earn money for her sight‑restoring surgery while reconciling his past.",0.8,0.2,0.8,0.1,0.7,0.3,0.7,0.8,0.6,0.2,0.7,0.1
Wicked (Musical),2003,"otherness, friendship, moral ambiguity, power, misunderstood identity","The story of Elphaba, the misunderstood green-skinned girl, and Glinda, her popular counterpart, exploring friendship, love, ambition, and the origin of the Wicked Witch of the West.",0.7,0.3,0.6,0.2,0.7,0.3,0.7,0.7,0.5,0.3,0.6,0.2
Spirited Away,2001,"coming-of-age, identity, courage, loss and growth, spiritual transition","Chihiro, a 10-year-old girl, enters a spirit world while moving to a new home. She navigates strange creatures and works at a bathhouse to save her parents and return home.",0.5,0.5,0.8,0.8,0.7,0.6,0.9,0.7,0.5,0.3,0.6,0.3
Howl’s Moving Castle,2004,"self-acceptance, love beyond appearances, war’s futility, transformation","Sophie is cursed by a witch and turned into an old woman. She meets Howl, a wizard, and journeys with him to break curses and face war, discovering love, courage, and identity.",0.8,0.4,0.8,0.7,0.7,0.5,0.8,0.7,0.5,0.3,0.6,0.2
Kiki’s Delivery Service,1989,"independence, burnout, self-worth, growing up, quiet resilience","Young witch Kiki moves to a new city, starts a delivery service, and learns independence, confidence, and friendship while navigating challenges of growing up.",0.5,0.7,0.7,0.8,0.6,0.6,0.8,0.6,0.4,0.2,0.4,0.2
Interstellar,2014,"time, love as transcendence, sacrifice, survival, human connection","Humanity faces extinction; Cooper leads a space mission through a wormhole to find a new habitable planet, confronting love, time, sacrifice, and survival.",0.7,0.2,0.8,0.8,0.8,0.3,0.8,0.9,0.6,0.4,0.7,0.6
Zootopia,2016,"prejudice, systemic bias, friendship, social justice, self-belief","Judy Hopps, a bunny cop, teams with fox Nick to solve a mysterious disappearance, learning about prejudice, friendship, and community in a city of anthropomorphic animals.",0.6,0.7,0.7,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.4,0.2
Zootopia 2,2024,"trust, societal tension, evolving identity, cooperation, accountability","Continues Judy and Nick’s adventures as they face new societal challenges, political intrigue, and personal growth in Zootopia.",0.6,0.7,0.7,0.8,0.6,0.5,0.8,0.6,0.4,0.3,0.4,0.2
Up,2009,"grief, letting go, adventure, chosen family, late-life growth","Elderly Carl sets off to fulfill a promise to his late wife, tying balloons to his house and going on an adventure with young scout Russell, finding friendship, healing, and purpose.",0.8,0.5,0.8,0.8,0.7,0.4,0.7,0.8,0.6,0.2,0.7,0.3
Your Name,2016,"fate, memory, time-crossed love, longing, cosmic connection","Two teenagers mysteriously swap bodies, developing a connection while trying to prevent a disaster in a rural town, blending romance, fate, and bittersweet longing.",0.8,0.4,0.8,0.7,0.8,0.4,0.8,0.8,0.6,0.3,0.7,0.3
